area_id,area_name,c24010d001,c24010d001_moe,c24010d002,c24010d002_moe,c24010d003,c24010d003_moe,c24010d004,c24010d004_moe,c24010d005,c24010d005_moe,c24010d006,c24010d006_moe,c24010d007,c24010d007_moe,c24010d008,c24010d008_moe,c24010d009,c24010d009_moe,c24010d010,c24010d010_moe,c24010d011,c24010d011_moe,c24010d012,c24010d012_moe,c24010d013,c24010d013_moe
1,Rogers Park,1813,461,895,245,588,205,106,78,57,57,24,48,120,109,918,278,397,152,229,120,278,161,10,50,4,45
2,West Ridge,7513,1033,4344,698,1133,270,983,357,905,252,87,70,1236,313,3169,501,1216,278,922,296,738,237,0,51,293,129
3,Uptown,3786,596,1884,438,781,226,351,247,419,151,153,95,180,119,1902,351,781,226,624,221,311,127,0,48,186,151
4,Lincoln Square,2378,417,1175,248,671,178,149,96,205,105,10,43,140,86,1203,255,738,216,177,87,228,103,0,40,60,60
5,North Center,960,254,524,181,318,133,17,44,153,99,26,50,10,44,436,134,290,106,56,76,80,54,0,43,10,44
6,Lake View,4339,534,2137,344,1533,279,101,108,461,184,28,74,14,66,2202,344,1575,290,162,123,371,153,0,66,94,87
7,Lincoln Park,2464,372,1213,249,888,212,45,67,270,113,0,51,10,52,1251,249,999,225,63,64,189,95,0,51,0,51
8,Near North Side,5924,666,3022,473,2606,445,137,102,279,150,0,54,0,54,2902,441,2320,396,145,103,417,176,0,54,20,57
9,Edison Park,120,96,65,61,29,34,30,40,0,25,0,25,6,25,55,53,18,36,15,31,22,40,0,25,0,25
10,Norwood Park,940,318,472,225,214,112,32,43,108,111,12,40,106,114,468,149,203,101,89,84,141,89,0,39,35,50
11,Jefferson Park,1272,351,531,178,273,110,82,72,88,58,45,57,43,41,741,239,442,196,194,118,53,52,0,29,52,59
12,Forest Glen,1204,221,554,150,245,92,38,46,101,68,49,74,121,71,650,148,369,133,85,84,141,93,0,29,55,51
13,North Park,1999,325,986,186,399,127,78,65,241,120,13,31,255,117,1013,194,361,126,267,105,233,104,31,49,121,55
14,Albany Park,3367,652,1747,369,553,187,429,217,455,167,55,56,255,109,1620,359,623,188,631,257,223,110,0,45,143,102
15,Portage Park,1646,426,707,186,348,136,146,83,101,83,66,74,46,58,939,297,404,157,193,105,277,160,0,47,65,61
16,Irving Park,2184,432,980,254,445,162,139,91,219,123,32,52,145,83,1204,279,537,174,291,122,289,129,0,47,87,82
17,Dunning,1049,302,410,154,236,100,69,61,24,41,17,43,64,55,639,178,366,125,99,62,108,63,0,40,66,91
18,Montclare,211,130,106,75,62,52,44,55,0,23,0,23,0,23,105,82,72,70,9,22,24,41,0,23,0,23
19,Belmont Cragin,698,263,290,125,30,58,116,84,62,64,20,55,62,63,408,178,220,100,15,54,105,99,0,52,68,92
20,Hermosa,94,71,64,63,18,40,46,56,0,29,0,29,0,29,30,43,13,35,0,29,17,38,0,29,0,29
21,Avondale,798,286,378,151,138,83,81,73,138,92,0,38,21,46,420,162,213,105,101,94,106,74,0,38,0,38
22,Logan Square,1577,319,728,197,431,150,116,92,137,87,23,67,21,61,849,192,655,158,36,60,133,104,0,57,25,69
23,Humboldt Park,100,92,26,55,16,53,10,53,0,51,0,51,0,51,74,89,24,55,35,68,15,53,0,51,0,51
24,West Town,2500,369,1191,254,743,181,123,100,284,132,1,61,40,73,1309,229,1063,207,17,65,179,89,42,92,8,64
25,Austin,147,93,69,70,48,65,0,61,0,61,0,61,21,63,78,82,62,76,15,64,1,60,0,61,0,61
26,West Garfield Park,17,43,17,43,0,35,17,43,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,61,51,19,42,19,42,0,38,0,38,0,38,0,38,42,43,42,43,0,38,0,38,0,38,0,38
28,Near West Side,5088,561,2957,401,2370,357,118,83,424,162,22,56,23,55,2131,359,1696,327,41,60,384,136,0,52,10,53
29,North Lawndale,7,43,7,43,7,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,32,55,19,47,9,45,10,50,0,48,0,48,0,48,13,48,0,48,13,48,0,48,0,48,0,48
31,Lower West Side,257,122,133,75,67,63,41,52,25,41,0,42,0,42,124,96,54,55,13,42,57,67,0,42,0,42
32,Loop,2846,488,1322,354,1049,326,14,35,259,143,0,30,0,30,1524,337,1211,292,68,79,205,104,0,30,40,70
33,Near South Side,2355,480,1239,329,1082,320,98,83,51,53,0,24,8,25,1116,324,901,297,41,50,174,116,0,24,0,24
34,Armour Square,4046,538,2200,370,541,201,874,195,379,180,154,113,252,168,1846,277,405,163,567,162,549,162,0,27,325,112
35,Douglas,797,209,467,152,388,140,8,35,64,51,0,35,7,35,330,123,254,105,0,35,69,60,0,35,7,35
36,Oakland,38,40,4,17,0,19,0,19,4,17,0,19,0,19,34,39,18,30,0,19,0,19,0,19,16,30
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,44,54,36,53,36,53,0,43,0,43,0,43,0,43,8,43,8,43,0,43,0,43,0,43,0,43
39,Kenwood,471,222,216,146,196,143,0,31,20,37,0,31,0,31,255,169,226,165,0,31,29,43,0,31,0,31
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,9,28,0,27,0,27,0,27
41,Hyde Park,1289,226,627,138,536,120,12,39,46,52,0,38,33,52,662,172,546,143,30,44,61,60,0,38,25,59
42,Woodlawn,251,81,93,52,67,43,10,40,6,36,0,36,10,40,158,70,103,59,13,36,36,47,6,36,0,36
43,South Shore,44,62,0,44,0,44,0,44,0,44,0,44,0,44,44,62,28,62,0,44,11,45,0,44,5,43
44,Chatham,12,36,1,35,1,35,0,37,0,37,0,37,0,37,11,38,0,37,11,38,0,37,0,37,0,37
45,Avalon Park,21,37,0,19,0,19,0,19,0,19,0,19,0,19,21,37,0,19,21,37,0,19,0,19,0,19
46,South Chicago,26,52,26,52,0,37,0,37,0,37,0,37,26,52,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,14,31,14,31,0,27,0,27,0,27,0,27
49,Roseland,72,71,47,53,18,44,0,41,29,51,0,41,0,41,25,49,0,41,18,49,7,42,0,41,0,41
50,Pullman,19,27,7,20,0,19,0,19,0,19,0,19,7,20,12,18,6,19,0,19,0,19,0,19,6,18
51,South Deering,10,27,10,27,0,25,0,25,0,25,10,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,60,60,31,38,18,36,13,32,0,29,0,29,0,29,29,40,12,33,0,29,17,37,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,294,156,126,77,49,56,7,41,5,39,7,40,58,63,168,96,52,59,30,45,56,51,0,42,30,54
57,Archer Heights,101,90,70,82,0,27,0,27,53,82,0,27,17,27,31,32,0,27,6,27,11,28,0,27,14,31
58,Brighton Park,1388,257,736,143,115,68,259,89,148,86,108,60,106,73,652,161,164,75,202,109,234,99,0,43,52,51
59,McKinley Park,1264,225,623,137,159,69,208,83,80,55,50,40,126,82,641,121,179,80,237,77,114,61,13,30,98,59
60,Bridgeport,5586,598,2888,350,1078,234,878,189,458,132,121,67,353,123,2698,356,667,150,967,227,745,173,12,39,307,116
61,New City,275,81,144,58,88,55,35,53,7,47,0,47,14,51,131,65,65,59,40,58,26,51,0,47,0,47
62,West Elsdon,129,83,54,38,30,27,23,31,0,27,0,27,1,25,75,53,21,30,16,25,26,31,0,27,12,29
63,Gage Park,159,82,51,51,30,46,0,41,21,49,0,41,0,41,108,69,11,41,46,59,43,48,0,41,8,41
64,Clearing,135,187,35,54,7,31,1,30,27,54,0,31,0,31,100,144,41,54,30,56,0,31,0,31,29,56
65,West Lawn,64,57,38,51,21,43,0,34,17,40,0,34,0,34,26,43,9,35,0,34,17,41,0,34,0,34
66,Chicago Lawn,247,202,110,86,5,47,22,50,35,63,0,49,48,73,137,139,9,47,11,50,70,88,0,49,47,72
67,West Englewood,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,8,37,0,36,0,36,0,36,0,36,0,36,0,36,8,37,0,36,0,36,0,36,8,37,0,36
69,Greater Grand Crossing,7,38,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,0,38,7,38,0,38,0,38
70,Ashburn,48,49,21,41,11,41,10,41,0,41,0,41,0,41,27,46,10,40,0,41,17,47,0,41,0,41
71,Auburn Gresham,29,57,10,47,10,47,0,46,0,46,0,46,0,46,19,49,10,48,9,47,0,46,0,46,0,46
72,Beverly,20,29,0,29,0,29,0,29,0,29,0,29,0,29,20,29,0,29,15,30,5,28,0,29,0,29
73,Washington Heights,1,30,1,30,1,30,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,62,61,31,40,19,36,0,25,12,31,0,25,0,25,31,35,17,34,4,24,10,25,0,25,0,25
75,Morgan Park,79,78,29,48,5,31,0,31,24,49,0,31,0,31,50,69,12,33,0,31,38,68,0,31,0,31
76,O'Hare,713,326,422,178,227,137,53,75,37,55,45,64,60,68,291,200,166,125,69,80,42,75,0,38,14,43
77,Edgewater,3524,481,2007,324,1225,257,219,126,433,163,25,54,105,77,1517,284,819,210,187,110,442,147,14,51,55,82
