area_id,area_name,c18108001,c18108001_moe,c18108002,c18108002_moe,c18108003,c18108003_moe,c18108004,c18108004_moe,c18108005,c18108005_moe,c18108006,c18108006_moe,c18108007,c18108007_moe,c18108008,c18108008_moe,c18108009,c18108009_moe,c18108010,c18108010_moe,c18108011,c18108011_moe,c18108012,c18108012_moe,c18108013,c18108013_moe
1.1,Arbor Heights,6251,299,1314,164,61,58,0,17,1253,151,4112,202,179,74,43,39,3890,199,825,102,72,35,86,45,667,110
1.2,Fauntleroy/Seaview,13653,592,2515,276,0,24,0,24,2515,276,9446,474,250,104,311,130,8885,452,1692,151,205,91,309,105,1178,159
1.3,West Seattle Junction/Genesee Hill,17521,592,3468,288,34,37,0,29,3434,288,11997,476,382,173,272,145,11343,476,2056,201,408,116,458,152,1190,175
1.4,Alki/Admiral,11124,577,1751,281,48,49,0,24,1703,288,7528,424,268,119,123,72,7137,414,1845,245,154,85,291,132,1400,260
2.1,North Delridge,4749,359,675,220,0,12,0,12,675,220,3735,260,25,26,157,80,3553,262,339,59,70,56,21,24,248,70
2.2,High Point,6452,416,1674,263,38,44,0,17,1636,247,4316,390,304,156,366,165,3646,331,462,136,135,102,64,45,263,90
2.3,Riverview,4685,295,1040,211,33,36,13,22,994,194,3293,223,91,62,72,46,3130,242,352,60,22,25,30,23,300,60
2.4,Roxhill/Westwood,12524,701,2523,392,64,47,9,21,2450,396,8819,558,483,196,225,89,8111,519,1182,158,193,75,353,108,636,137
2.5,Highland Park,5814,462,1073,239,0,21,0,21,1073,239,3923,317,146,80,120,81,3657,300,818,162,106,72,241,125,471,119
3.1,South Park,4310,608,1321,348,66,65,18,30,1237,313,2763,438,86,66,139,76,2538,434,226,62,25,28,72,41,129,75
3.2,Georgetown,1184,151,133,44,0,12,0,12,133,44,965,152,89,67,125,86,751,155,86,49,18,14,4,9,64,50
3.3,Duwamish/SODO,2332,380,187,37,0,12,15,26,172,37,1839,308,194,117,118,57,1527,254,306,127,32,26,129,71,145,83
3.4,South Beacon Hill/NewHolly,15604,1277,4713,900,14,23,30,39,4669,899,9245,668,494,178,329,126,8422,668,1646,207,218,100,601,152,827,146
3.5,Beacon Hill,9332,700,1634,272,11,22,0,17,1623,271,6307,559,263,134,147,81,5897,518,1391,178,145,77,214,118,1032,184
3.6,North Beacon Hill/Jefferson Park,14180,731,2790,319,88,69,7,23,2695,315,9559,616,286,130,248,124,9025,612,1831,203,324,113,468,144,1039,208
4.1,Rainier Beach,15144,983,3814,578,25,44,14,34,3775,577,9582,635,645,189,478,186,8459,602,1748,228,278,99,449,164,1021,185
4.2,Columbia City,16249,808,3310,497,100,71,80,64,3130,492,11161,625,552,173,365,137,10244,647,1778,205,222,98,512,146,1044,195
4.3,Seward Park,8589,543,1758,255,30,28,0,17,1728,256,5645,375,193,103,132,68,5320,347,1186,193,107,52,256,125,823,142
4.4,Mt. Baker/North Rainier,5483,466,1192,162,0,17,0,17,1192,162,3694,397,281,140,117,63,3296,356,597,143,171,64,108,65,318,117
5.1,Madrona/Leschi,9977,562,1900,240,16,32,15,25,1869,237,6860,456,279,153,107,60,6474,414,1217,169,83,76,163,89,971,159
5.2,Judkins Park,2735,272,290,95,0,12,0,12,290,95,1822,222,99,77,81,59,1642,226,623,94,102,58,237,85,284,71
5.3,Central Area/Squire Park,16546,780,2317,379,38,56,15,33,2264,375,12760,617,563,167,549,178,11648,618,1469,195,195,94,421,157,853,157
6.1,First Hill,12940,727,488,153,15,27,0,24,473,154,10637,702,347,149,511,183,9779,670,1815,188,285,92,542,134,988,173
6.2,Capitol Hill,20179,773,811,257,0,29,0,29,811,257,18117,721,735,208,393,154,16989,754,1251,255,155,73,186,87,910,245
6.3,North Capitol Hill,3918,239,336,102,0,12,0,12,336,102,3131,219,81,83,4,7,3046,249,451,88,137,89,44,43,270,66
6.4,Miller Park,7268,370,1367,177,79,73,11,22,1277,146,5318,280,221,90,137,131,4960,259,583,107,93,40,71,48,419,84
6.5,Madison Park,5099,381,892,202,0,17,3,12,889,206,3117,240,115,89,71,57,2931,281,1090,167,112,80,64,51,914,161
7.1,Montlake/Portage Bay,9397,467,1140,115,0,21,0,21,1140,115,7142,455,177,75,52,40,6913,456,1115,102,47,38,44,31,1024,102
7.2,University District,19393,1384,609,129,18,49,0,29,591,121,18131,1387,537,181,234,122,17360,1346,653,258,108,86,254,248,291,96
7.3,Ravenna/Bryant,24600,831,4003,270,71,53,0,32,3932,272,18272,789,542,170,187,86,17543,790,2325,165,256,101,292,98,1777,174
7.4,Wedgwood/View Ridge,14935,464,3066,217,49,39,84,65,2933,208,9818,345,267,107,180,78,9371,367,2051,129,205,75,339,102,1507,136
7.5,Laurelhurst/Sand Point,10791,534,2625,274,45,43,0,21,2580,263,6900,373,155,77,86,92,6659,361,1266,113,170,74,168,70,928,148
8.1,Northgate/Maple Leaf,13239,595,1889,277,63,59,12,29,1814,270,9550,497,378,128,292,111,8880,518,1800,240,321,98,594,183,885,187
8.2,Olympic Hills/Victory Heights,14590,681,2246,275,44,46,0,24,2202,272,10481,575,493,171,350,132,9638,558,1863,162,340,122,478,169,1045,197
8.3,Cedar Park/Meadowbrook,12033,596,2029,270,21,34,0,27,2008,272,8739,460,330,101,406,150,8003,482,1265,143,278,98,197,77,790,116
9.1,Broadview/Bitter Lake,13305,764,1976,276,38,44,11,27,1927,276,8657,731,253,131,388,154,8016,691,2672,259,441,122,852,186,1379,193
9.2,Licton Springs,8916,503,1087,261,63,71,0,17,1024,255,7134,400,205,125,164,91,6765,406,695,147,143,75,120,69,432,122
9.3,Greenwood/Phinney Ridge,23508,807,4054,435,51,40,0,29,4003,434,17572,540,563,157,346,113,16663,567,1882,180,189,75,538,142,1155,180
9.4,Green Lake,13753,613,1753,193,0,24,0,24,1753,193,10604,549,227,92,218,113,10159,576,1396,237,214,109,206,89,976,183
9.5,Haller Lake,9784,516,1631,312,12,25,15,22,1604,312,6822,309,291,142,334,165,6197,327,1331,172,197,120,296,108,838,136
10.1,North Beach/Blue Ridge,11516,481,2149,263,14,27,14,30,2121,262,7817,332,243,82,190,92,7384,320,1550,117,110,60,173,66,1267,120
10.2,Whittier Heights,11717,428,2094,286,31,35,0,24,2063,287,8861,349,241,121,172,112,8448,358,762,81,136,63,96,56,530,99
10.3,Sunset Hill/Loyal Heights,13970,595,2356,224,17,33,0,24,2339,218,10110,521,264,137,129,74,9717,534,1504,174,246,104,303,124,955,176
10.4,Ballard,7123,503,584,137,0,17,15,24,569,133,5881,445,173,115,51,47,5657,458,658,162,151,97,103,94,404,134
11.1,Fremont,15385,538,1555,218,45,73,0,24,1510,229,13021,463,370,139,178,101,12473,466,809,158,114,58,134,69,561,128
11.2,Wallingford,16358,901,1872,213,15,33,2,24,1855,214,13356,861,626,188,147,62,12583,840,1130,157,283,107,222,121,625,105
11.3,Cascade/Eastlake,12372,808,410,132,0,21,0,21,410,132,10906,765,512,179,529,207,9865,725,1056,182,127,67,232,89,697,171
12.1,Magnolia,12491,624,2788,354,30,33,42,54,2716,357,7843,481,271,114,82,49,7490,499,1860,176,255,110,290,156,1315,149
12.2,Interbay,9757,514,1264,249,19,35,0,21,1245,249,7491,416,300,132,173,107,7018,393,1002,119,92,60,239,113,671,132
12.3,Queen Anne,36820,1129,4087,364,65,58,0,40,4022,359,29076,1044,950,303,671,213,27455,1034,3657,308,464,125,555,174,2638,321
13.1,Belltown,8214,581,229,83,0,21,0,21,229,83,7059,555,307,153,401,139,6351,553,926,190,102,93,82,63,742,157
13.2,Downtown Commercial Core,3653,422,72,70,0,12,0,12,72,70,3125,307,364,139,489,174,2272,254,456,172,16,25,153,116,287,121
13.3,Pioneer Square/International District,5239,567,727,400,0,17,0,17,727,400,3358,313,331,116,368,122,2659,305,1154,182,176,88,474,136,504,115
