area_id,area_name,b25003b001,b25003b001_moe,b25003b002,b25003b002_moe,b25003b003,b25003b003_moe
1,Southwest,481,200,26,53,455,198
2,Delridge Neighborhoods,1645,271,327,130,1318,259
3,Greater Duwamish,2729,331,725,171,2004,313
4,Southeast,4835,425,2016,287,2819,397
5,Central,2944,324,1296,203,1648,282
6,East,1758,326,256,99,1502,314
7,Northeast,638,196,251,122,387,161
8,North,938,266,60,54,878,264
9,Northwest,1199,290,89,76,1110,283
10,Ballard,193,112,17,48,176,107
11,Lake Union,672,214,52,63,620,208
12,Magnolia/Queen Anne,806,279,198,121,608,258
13,Downtown,1073,273,61,46,1012,272
